ranking_date,ranking,player_id,player_name,country_code,ranking_points,source
2000-11-27,1,80301,Martina Hingis,SUI,6180,wta_api
2000-11-27,2,40106,Lindsay Davenport,USA,5022,wta_api
2000-11-27,3,230220,Venus Williams,USA,3694,wta_api
2000-11-27,4,190141,Monica Seles,USA,3255,wta_api
2000-11-27,5,130113,Conchita Martínez,ESP,2795,wta_api
2000-11-27,6,230234,Serena Williams,USA,2306,wta_api
2000-11-27,7,160142,Mary Pierce,FRA,2162,wta_api
2000-11-27,8,110375,Anna Kournikova,RUS,2158,wta_api
2000-11-27,9,190008,Arantxa Sanchez-Vicario,ESP,2132,wta_api
2000-11-27,10,200011,Nathalie Tauziat,FRA,1963,wta_api
2000-11-27,11,30037,Amanda Coetzer,RSA,1798,wta_api
2000-11-27,12,40289,Elena Dementieva,RUS,1774,wta_api
2000-12-04,1,80301,Martina Hingis,SUI,6180,wta_api
2000-12-04,2,40106,Lindsay Davenport,USA,5022,wta_api
2000-12-04,3,230220,Venus Williams,USA,3694,wta_api
2000-12-04,4,190141,Monica Seles,USA,3255,wta_api
2000-12-04,5,130113,Conchita Martínez,ESP,2795,wta_api
2000-12-04,6,230234,Serena Williams,USA,2306,wta_api
2000-12-04,7,160142,Mary Pierce,FRA,2162,wta_api
2000-12-04,8,110375,Anna Kournikova,RUS,2158,wta_api
2000-12-04,9,190008,Arantxa Sanchez-Vicario,ESP,2132,wta_api
2000-12-04,10,200011,Nathalie Tauziat,FRA,1963,wta_api
2000-12-04,11,30037,Amanda Coetzer,RSA,1798,wta_api
2000-12-04,12,40289,Elena Dementieva,RUS,1774,wta_api
2000-12-11,1,80301,Martina Hingis,SUI,6180,wta_api
2000-12-11,2,40106,Lindsay Davenport,USA,5022,wta_api
2000-12-11,3,230220,Venus Williams,USA,3694,wta_api
2000-12-11,4,190141,Monica Seles,USA,3255,wta_api
2000-12-11,5,130113,Conchita Martínez,ESP,2795,wta_api
2000-12-11,6,230234,Serena Williams,USA,2306,wta_api
2000-12-11,7,160142,Mary Pierce,FRA,2162,wta_api
2000-12-11,8,110375,Anna Kournikova,RUS,2158,wta_api
2000-12-11,9,190008,Arantxa Sanchez-Vicario,ESP,2132,wta_api
2000-12-11,10,200011,Nathalie Tauziat,FRA,1963,wta_api
2000-12-11,11,30037,Amanda Coetzer,RSA,1798,wta_api
2000-12-11,12,40289,Elena Dementieva,RUS,1774,wta_api
2000-12-18,1,80301,Martina Hingis,SUI,6180,wta_api
2000-12-18,2,40106,Lindsay Davenport,USA,5022,wta_api
2000-12-18,3,230220,Venus Williams,USA,3694,wta_api
2000-12-18,4,190141,Monica Seles,USA,3255,wta_api
2000-12-18,5,130113,Conchita Martínez,ESP,2795,wta_api
2000-12-18,6,230234,Serena Williams,USA,2306,wta_api
2000-12-18,7,160142,Mary Pierce,FRA,2162,wta_api
2000-12-18,8,110375,Anna Kournikova,RUS,2158,wta_api
2000-12-18,9,190008,Arantxa Sanchez-Vicario,ESP,2132,wta_api
2000-12-18,10,200011,Nathalie Tauziat,FRA,1963,wta_api
2000-12-18,11,30037,Amanda Coetzer,RSA,1798,wta_api
2000-12-18,12,40289,Elena Dementieva,RUS,1774,wta_api
2000-12-25,1,80301,Martina Hingis,SUI,6044,wta_api
2000-12-25,2,40106,Lindsay Davenport,USA,5021,wta_api
2000-12-25,3,230220,Venus Williams,USA,3694,wta_api
2000-12-25,4,190141,Monica Seles,USA,3255,wta_api
2000-12-25,5,130113,Conchita Martínez,ESP,2752,wta_api
2000-12-25,6,230234,Serena Williams,USA,2306,wta_api
2000-12-25,7,160142,Mary Pierce,FRA,2162,wta_api
2000-12-25,8,190008,Arantxa Sanchez-Vicario,ESP,2131,wta_api
2000-12-25,9,110375,Anna Kournikova,RUS,2098,wta_api
2000-12-25,10,200011,Nathalie Tauziat,FRA,1918,wta_api
2000-12-25,11,40289,Elena Dementieva,RUS,1773,wta_api
2000-12-25,12,30037,Amanda Coetzer,RSA,1752,wta_api
